Defect ID,Date Recorded,Defect Description,Error-Prone Scenario Analysis,Human Error Modes,,
130,2/19/2025,"Last week I was grading student code submissions and as part of that process I had to type the following command many times: cd ../a2-{student repo name} This week I was grading another assignment and I had to type a slightly different command: cd ../toyos-{studen t repo name} However, I very often typed the first command.","I believe this is strong-but-now wrong rule because the typing the first command many times formed a strong rule in my thinking that was incorrect now that I was grading a similar but different assignment. My only confusion here is that to me this feels like it could be happening at a skill-based performance level because I was not really concentrating on the task as I was doing it. In other words, typing this command felt automatic to me. In that case it might satisfy the mode of double capture slip.","Applying “strong-but-now-wrong” rule, Double Capture Slip",,
131,2/20/2025,"When grading some student's coding assignments, I frequently encountered several submissions that would not compile or would fail before running the tests. I first assumed these submissions were defective, but it turned out to be something else. Students were supposed to mark their submission commit as a3-submit, and my grading script automatically checked out this submit. However, not all students labeled their commit correctly. This turned out to be the case regarding the submissions that were failing. It took me a while to realize this, and I had to go back and re-grade those submissions with the correct commit checked out.","This is an example of Biased review because I did not account for students who did not label their submission commit correctly. I was aware of the possibility not all students would name their commit correctly, but I was unaware of how it would cause problems for my grading. I did not think to account for all cases in this situation.",Biased review,,
132,2/10/2025,I initialized a variable in rust by writing: int x = 10; The correct syntax in rust is let x = 10;,I misused a rule I had developed for the syntax for initializing variables in c in rust.,Applying “strong-but-now-wrong” rule,,
133,2/1/2025,"In the magic trees assignment, I assumed that there was a linear relationship in the growing of the trees during my design phase.","Because of lack of experience with exponential relationships, I wasn’t able to properly Identify the",Difficulties with exponential developments,,
134,2/12/2025,"I initially omitted a reference in the following rust code: pairs.contains(&(el, el)), forgetting that the reference is necessary for the contains method not to take ownership of the elements I was iterating through",I omitted the & sign because of my shallow understanding of the ownership rules in the Rust programming language.,Lack of knowledge,,
135,2/12/2025,"I implemented my function for calculating whether a set is reflexive or not with loops, which is considered to be mutable control flow. The requirements of the assignment were for the code to be purely functional",My lack of knowledge about functional design principals led me to take an iterative approach rather than a functional approach to the implementation of the reflexive set function.,Lack of knowledge,,
136,2/19/2025,I wrote the IdentityFile parameter in my ssh config as “IdentifyFile”,"The ‘t’ in identity file looks very similar to the ‘f’ in IdentifyFile. Additionally, Identify is a real word so it’s an easy mistake to make",Perceptual confusions,,
137,2/15/2025,I mistyped the variable name pairs as pairs in a program while listening to music,"Mistakes in completing routine mechanical actions like typing are generally considered Skills based. Due to distraction of the music, I would argue that this is an example of the interference category",Interference,,
138,2/16/2025,"When implementing a lisp-like function to determine if a set and relation is reflexive, during the recursive call I passed in the entire array, instead of a slice, resulting in a stack overflow.","I was quickly jumping between conditional branches when writing the function, without fully checking or considering each one. I would consider this an example of thematic vagabonding",Thematic vagabonding,,
139,2/16/2025,"When implementing a function to check if a set was symmetric, I implemented the function for the symmetric difference.","I hadn’t reviewed the set functions since taking 301, and I was overconfident about my knowledge of them",Overconfidence,,
140,2/16/2025,"When Implementing the Reflexive function, I calculated whether a set was reflexive or not, but forgot to print out a custom message within the function which was part of the requirements. ","The task of implementing the function had the subtask of printing a custom message, which I forgot about. Therefore, this is a post completion error",Post-Completion Error,,
141,2/16/2025,"When implementing a lisp-like version of the reflexive function, I initially started by implementing the set of variables as a HashSet, instead of an Array. As a result, I wasn’t able to easily grab the first element in the set, as the set is not ordered.","This mistake is due to my lack of knowledge about the Rust programming language. When I first began writing the function, I didn’t consider the set data type wouldn’t let me treat the data as a list.",Lack of knowledge,,
142,11/1/2022,In an update on JOIN in SQL I set the entirety of a column in a shipping label table to be one value from inventory based off a non-unique ID,I mistook sto_id as hu_id in a hastily- before-lunch-move and accidentally updated all inventory to be on one label,Perceptual confusions,,
143,7/25/2023,Created a race condition by not properly locking a mutex in C with pthreads,Lack of familiarity with domain of threading caused user to introduce race conditions.,Lack of knowledge,,
144,3/20/2024,Mistook an “item” class for a “backpack item” class,User chose “item” class rather than “backpack item” class because they looked similar.,Perceptual confusions,,
145,1/13/2025,"In Magic Tree, I focused on the visual input and spent too much time creating a two-line input mechanism",I chose to focus on the visual input instructions vs the textual input instructions and got lost in implementing something wrong,Selectivity,,
146,1/13/2025,"I struggled with exponents, although simple, for longer than I’d like to admit, which caused growth issues in Magic Tree.","Underestimated the rate of change and tried to make something more complex than necessary, which inflated the growth rate.",Difficulties with exponential developments,,
147,1/14/2025,Didn’t test scaling of webpage at min sizes for mobile viewing,"Programmer believed all sizes had been tested, but only a subset of webpage sizes was tested",Biased review,,
148,1/30/2025,"Interruption when designing a website, came back and added a navigation link without creating the page.","I picked up my original sequence of designing a webpage further downstream than I left it, cause me to not design one of the pages.",Omissions following interruptions,,
149,2/1/2025,Placed a wrapper tag around a main section on another webpage when it wasn’t supposed to,"Seeing a familiar webpage layout made me apply a strong rule that had been used on the prior page, which resulted in poor formatting.",Double-capture slips,,
150,2/10/2025,Applied a flex format to a child class rather than the parent because with floats that would have worked.,"Context was like previously used float instance, resulting in my neglect of the novel circumstance with flex.",Applying “strong-but-now-wrong” rule,,
151,2/13/2025,Overloaded a buffer by not specifying a large enough size by copying an existing piece of code that made a buffer for a smaller input,"When creating a new buffer, a small size was applied from a previously known working function, which caused the new one to overflow since it had larger input.",Rigidity,,
152,2/15/2025,Wrong variable used due to VScode autofill choosing similarly -named variable,Relying on autofill backfire d into wrong variable name,Perceptual confusions,,
153,2/15/2025,Missing semicolo n,Forgot to add a semicolo n,Rule encoding deficiencies,,
154,2/15/2025,Wrong variable used due to ignorance of establish ed global variable in the codebase,Ignoranc e of global variable let to wrong variable being used,Lack of knowledge,,
155,2/16/2025,Bad print attempt for data type,Printing data as wrong data type caused an error,Rule encoding deficiencies,,
156,2/16/2025,Incorrect naming of log file,Ignorance of correct naming structure caused an error,Lack of knowledge,,
157,2/16/2025,Incorrect naming of script file,Ignorance of correct naming structure caused an error,Lack of knowledge,,
158,2/17/2025,Wrong variable used due to ignoranc e of establish ed private variable in the header file,Ignorance of codebase lead to wrong variable being used,Forgetting something has been done,,
159,2/17/2025,Wrong variable used due to incorrect assignme nt,Incorrect instructions lead to incorrect coding attempt,Rule encoding deficiencies,,
160,2/17/2025,Wrong function argumen t due to bad impleme ntation of correct instructi ons,Ignorance of codebase lead to wrong variable being used,Rule encoding deficiencies,,
161,2/17/2025,Wrong command accident ally used in bash script,Ignoranc e of correct bash comman ds lead to wrong comman ds being used,Lack of knowledge,,
162,2/18/2025,"In my research group, I not only updated code in the codebase, but also introduced new c sharp files that would work with the existing Factory State Machine logic, and also with a newly introduced Goal Oriented Action Planning model. When I finished and attempted to load a test scene in Unity, some of my updated or new files were not compiling.",My sub-goals of ensuring every related script functioned with the updated code were not all completed.,Post-Completion Error,,
163,2/10/2025,"For a web development project, I had an email field that should have shown the text: “Enter your email” before interacting with it, but was actually showing blank.","I had attempted to fix the issue before encountering it, as my peers notified the class discord that a starter file had the wrong color text. I mistakenly changed the wrong starter file and made a different block of text white instead of fixing the original issue because I was confused.",Perceptual confusions,,
164,2/12/2025,"For a web development project, I thought tailwind css was being installed wrong, as certain elements on my page that were supposed to be styled using it were appearing very strangely.","Tailwind Css was being installed fine, but I just had some minor inconsistencies in a couple css files. My initial lack of knowledge for the root cause of the problem caused me to go down a rabbit hole.",Lack of knowledge,,
165,3/15/2024,"In a text adventure game I coded for one of my honors classes, I thought I had accounted for every version of user input for a certain decision but disregarded a spacing issue. This resulted in the game being stopped early.",I was so sure that my implementation was correct on the first go around.,Confirmation bias,,
166,2/5/2025,"When attempting to use WSL on my machine, I was receiving an error code preventing Ubuntu from launching. I tried a million different troubleshooting techniques suggested online, and ended up getting the main error resolved, but a new one popped up right after. My file system was corrupted.",Couldn’t classify causes because of lack of information. I had been regularly interacting with my WSL every day and it just randomly seemed to get corrupted.,Unknown,,
167,2/20/2025,"When attempting to use a license key on turbo tax, I received an error code because I needed to be logged in on the account associated with it.","I went over everything in my head before trying the license key, and determined that I was good to go. Once I saw the error, my mind almost immediately went to me not being logged in with the correct account.",Biased review,,
168,2/16/2025,"For a web development project, I placed my api key in the wrong location.",I was confused and mistakenly grabbed the wrong key for where the api key should have gone.,Perceptual confusions,,
169,2/19/2025,"When setting up a permissions management system on a local MC server that I created, I had the wrong preference selected for modifying groups locally",I had set up many permissions config files for previous servers and assumed the new plugin I chose would behave the same way as others I had used.,Applying “strong-but-now-wrong” rule,,
170,1/14/2024,"When pulling logs from my work tablet, I needed to cross-check Mixpanel to ensure that the correct names of events were being triggered on Mixpanel as well asthe correct number. I saw no events on Mixpanel after triggering the events on the tablet and pulling the logs.","I was interrupted by having to deal with an incoming zoom call during the process, which caused me to forget to connect to the correct network on the tablet",Omissions following interruptions,,
171,1/25/2025,"For a web development project, I was following a local database(MongoDB) setup tutorial from a groupmate for our project. When setting up the .env file inside the server directory, the expected Port was not working.","As this was my first time setting up MongoDB on my PC, I was confused and swapped two ports on the instructions in my head. Once I switched the field to the correct port everything worked fine.",Perceptual confusions,,
172,N/A,Entered step instead of stepi,"During my “bomb” assignment for CSCI 247, I had to be careful not to blow up my bomb by going too far in the instructions while using the debugger. To do this, I used the command “stepi,” which allowed me to go forward one step in assembly. This should not be confused with “step”, which goes forward one C instruction, which is a lot further than I wanted to test. Unfortunately, since they look similar, I experienced Perceptual confusions and entered step as a command, which ended up blowing up my bomb.",Perceptual confusions,,
173,N/A,"Used space in terminal which enters last command out of habit, crashing my program","During that same bomb assignment, I figured out that when simply pressing enter the previous command is used, which is quite efficient when doing the same step over and over again. After using this a lot, I went back to pen and paper, devising a strategy before trying again. When trying again, I entered “continue” in gdb to go to my breakpoint, and although I should have typed “stepi” to go to the next step and then continued to use it via the enter key, I immediately pressed enter out of habit, intending to go forward one step but instead using continue which, since I had not more breakpoints set, blew up the bomb. This is an example of strong-but-now-wrong: I was so used to enter going forward one line of code that I expected it to do the same even when the previous command was not stepi.",Applying “strong-but-now-wrong” rule,,
174,N/A,Did not fully follow all cases when reimplementing a function in a bugged program,"While fixing a bug in a program given to me in a lab, I noticed an incorrect usage of unsigned integers which created overflows. To fix this, I deleted the entire implementation, creating a while loop which would prevent overflow. However, I failed to realize that the initial for loop I deleted on its first cycle would print differently than on the other cycles, and this caused my program to give unexpected results, failing the tests. I believe this to be an example of a post-completion error, since I first needed to fix the overflow (step A), and then reimplement the special case handling on the first iteration (step B), and since step B is not necessary to completing step A and immediately follows it, I forgot to do it.",Post-Completion Error,,
175,N/A,Error while working with hexadecimal values,"While working on an assignment using hexadecimal values, I was meant to choose the max value. While working this out in my head, I first chose by the tens digits, and then when I saw a 9 in the one's digit I assumed that the number would be the greatest, regardless of what any of the other numbers had in the one's digit, since this would be the case if I were working in standard decimal format. This was me committing a strong-but-now-wrong error since in hexadecimal 9 is not the greatest value, F is. It turns out, there was a value with an A in the ones digit, which is greater than 9 meaning I was incorrect, and this caused me quite a bit of confusion when my code disagreed with me.",Applying “strong-but-now-wrong” rule,,
176,N/A,Printed “-” rather than spaces in Magic Trees problem,"In the magic trees problem assigned to us in class, I did not replace the “-” characters with spaces, as required in the specification. This is a post-completion error, as the instruction to replace those characters was the last line in the spec, and was not a necessary condition to complete the task before it, which was more important to the actual functionality of the program. Most likely, my brain got tired of reading and I skipped to looking at the example diagrams, not realizing I was missing a step.",Post-Completion Error,,
177,N/A,Did not sort correctly in LeetCode problem,"While solving a LeetCode problem where I was asked to sort items by the frequency of said items. Then, the instructions said that if multiple values had the same frequency, that I should sort them by decreasing order. However, since this was the last step, and was not necessary to the task before, I forgot to do so, committing a post-completion error, and was surprised when my result was not accepted.",Post-Completion Error,,
178,N/A,Used undefined data type in C,"While coding in C, I used the data type “bool,” and was surprised when I got an error message that the type “bool” was undefined. After looking it up, I found out that earlier version of C did not have that data type, and that I could either use an integer or define it at the top of the file. This error happened because I was told that booleans are in C and use the name bool, and therefore updated my C schema, not realizing that this was only true for certain versions of C, and that this was not true in the version I was using. This leads me to believe the cause of my error was a rule-encoding deficiency.",Rule encoding deficiencies,,
179,N/A,Forgot to compile file after making changes,"While working on an assignment, I had to frequently make updates to a file, which would thereafter have to be compiled. At one point, after making a change, I forgot to compile, which meant I was not seeing my changes incorporated, which took me a minute to understand while debugging. This is an example of a post-completion error, as it was the last step in the sequence required to edit the file, and it was not required to complete the main task of editing the file, which is what my brain was focused on, taking up the majority of my attention.",Post-Completion Error,,
180,N/A,Personal project briefly broke due to issues with HTML tags,"A user of one of my personal projects notified me that it was no longer working. Upon closer inspection, I discovered it had broken across all platforms. The issue was rooted in how I was identifying elements to edit on webpages: I grabbed them by their HTML tags, hoping that they would not be changed during updates to the website. But evidently they did, and it is an example of an error causing a fault that did not immediately lead to a failure. The error itself is in my opinion an example of a lack of knowledge: I did not know how permanent the HTML tags were, and if they would be changed or not by updates, as I have no knowledge of the eternal workings of the websites I am creating extensions for in my personal project.",Lack of knowledge,,
181,N/A,Distracted by working on too many separate functions,"While doing a class assignment in a brand new topic, I started trying multiple things to test out the functionality of what I was learning (buffer overflow attacks). When I came back I started toflesh out one of these things and was surprised when I was getting unexpected outputs. I eventually realized that my unfinished framework from earlier was breaking things down the line, as it was never meant to be finalized. This is an example of an omission following an interruption: the time I took away from the computer caused me to forget that there were other aspects of the attack that were unfinished, and so I omitted the lines that would have caused the program to run correctly.",Omissions following interruptions,,
182,N/A,The first example is an error I made on an assignment where I was to compare a list of runtimes and sort them in order from least (fastest) to greatest (slowest). The submission was to be a pdf constructed using LaTex. I mistakenly used greater than or equal to symbol ( ? ) instead of the correct greater than symbol ( < ).,I believe this occurred during the coding and review stage because I used the wrong symbol when writing the LaTex code and failed to recognize my mistake when reviewing my answers in the pdf output and at the skill-based performance level. I am highly confident that this error was the result of Perceptual confusions. ? looks very similar to < so used it instead.,Perceptual confusions,,
183,N/A,The second example is an error I made on an assignment where I was to create a function that takes in an array of items in a set and an array of relations in a set and determines if the set is transitive. Return true if it is false if it’s not. The assignment description gave a few examples of correct and incorrect inputs but didn’t show any examples of edge cases. I forgot to include the null set edge case leading to the function returning false instead of true.,I believe this occurred during the coding stage and at the knowledge-based performance level. I am highly confident that this error was the result of Bias Review. The instructions only contained examples of true and false sets so I focused on getting those to work. Once they returned the proper values for all of the sets I assumed I had successfully covered all the cases which led to me skipping over the null set edge case.,Biased review,,
184,N/A,"Another example is I was working on a homework assignment with multiple problems. The instructions stated to solve the following problem, how we were to format our answers, when the assignments was due, and at the end to write on the top of our paper if we worked alone or with a team. I forgot to put that I worked alone on the top and as a result lost a significant amount of points on the assignment.",I believe this occurred at the requirement level as I skipped a requirement and at the review level as I was focused on reviewing the answers to thequestions. I am highly confident this is a Post-Completion Error. Writing if I worked alone was the last step and it was smaller and nonessential to the main task of completing the homework.,Post-Completion Error,,
185,N/A,"Another error I personally made is on a quiz the question was “to write down a recurrence that computes a^n using divide and conquer. For example, if we are trying to compute 28, our algorithm should first compute b=24 and then return b*b. Be sure to include cases for both odd and even n.” I incremented n by -2 each recursion instead of n/2.",I believe this occurred at the coding stage as it was when I was actually writing the code that this occurred. This quiz was timed so I did not have time to review my code. I have a medium level of confidence this occurred at the knowledge-based level and is a Selectivity error. I missed the logically important information that I was supposed to use divide and conquer because I was focused on including both odd and even cases.,Selectivity,,
186,N/A,"The final error I personally made that I can remember for purposes of this project occurred when I was trying to give a runtime analysis of a program similar to binary search. I recognized it was similar to binary search and assumed the runtime was O(n log n), the runtimeof binary search. I focused on proving the runtime was O(n log n) instead of computing it from scratch which resulted in me getting the wrong runtime.",I believe this occurred at the design stage as I assumed the solution instead of working to find the best solution. I am highly confident that this occurred at the knowledge-based level and is Confirmation bias. I was trying to confirm the solution and only focusing on the psychologically stagnant information that supported that instead of the logically important information I needed to calculate the correct runtime.,Confirmation bias,,
187,N/A,The first example is from a Student who was modifying a Radix sort algorithm to sort negative numbers as well as positive numbers. The student updated all functions in Radix sort but it still wasn’t working correctly. This was because they had forgotten to add a way to separate the negative numbers from the positive numbers so the array of negative numbers was empty and all values were in the positive numbers array.,This occurred at the coding stage and I believe at the skill-based level. I am highly confident this is a Post-Completion Error as it was the smaller final step in the larger task of updating the Radix sort algorithm.,Post-Completion Error,,
188,N/A,The second example is from a Student who was working on the 247 pointer lab. The first portion of this lab is following step by step instructions provided by the teacher. This student was talking to a friend who was working on the same project and as a result skipped over a step causing the code to fail to compile.,This occurred at the coding stage and at the skill-based level. I am highly confident this is an Omission Following Interruption as the student picked up the instructions a step ahead after talking to their friend (interruption). I think this could also be Perceptual confusions as their friend was working on the same project and a few steps ahead so it’s possible they were looking at their friend's code and mistook it for theirs causing them to believe they were further along than they were.,Perceptual confusions,,
189,N/A,Another example is a Student was working on a Python truth table of XOR function in 141. The User inputs two true or false values in the form T or F and a boolean value that is the result of XORing the inputs is returned. The Student used T or F instead of true or false forBoolean values causing a compile error as they were returning a char when the program expected a boolean.,This occurred at the coding stage and the knowledge-based and skill-based levels. This could be a Lack of Knowledge Error as the student hadn’t previously used boolean types so didn’t know to use the keywords “true” and “false”. This could also be Perceptual confusions as the input is a char T or F which has the same function in this project as true or false resulting in the student using the wrong one.,Lack of knowledge,,
190,N/A,A 145 assignment asked students to create an array of integers with length size. This resulted in approximately 3-4 students students attempting to create new array in the way new instances of an object are created after learning about objects the previous week. They wrote Array a= new Array(int); instead of: int [] a = new int [size];.,This occurred at the coding stage and at the rule-based level. I believe with medium confidence this is a “Strong-but-now-wrong” Rule. Students were familiar with the creation of objects and had successfully used it multiple times in the previous week so when faced with the new rule of creating arrays they mistakenly used the familiar rule of creating objects.,Applying “strong-but-now-wrong” rule,,
191,N/A,approximately 10-12 students used getters and setters instead of constructors like directed.,This occurred at the design and coding stage as the initial design lacked constructors and they wrote code for just getters and setters instead. I believe with medium confidence this occurs at the rule-based level and is a “Strong-but-now-wrong” Rule. The stronger rule of creating getters and setters to access private variables was used instead of the newer rule of usinging constructors and setting the private variables with input from the constructor arguments.,Applying “strong-but-now-wrong” rule,,
192,N/A,The second error was using inheritance instead of encapsulation to rewrite the class; around 20-25 students did this (possibly more I should’ve counted exactly but it was a lot).,I believe this occurred at the requirements and design stage because the code varied but the key concept stayed the same. I am highly confident this is at the knowledge-based level and a Lack of Knowledge of what encapsulation is. It also could be Selectivity and the students focused on the phycologically stagnant object-oriented part instead of the logically important encapsulation part.,Lack of knowledge,,
193,N/A,A project to create a program to perform bisection on a function must produce a table where results have 7 decimal places. My program would print with anywhere from 0 - 8,"I was not able to get the program to print the correct number of decimals, I solved the issue by changing the values to a string. Then using a method to specify a length of a string to get the desired decimal places",Rule encoding deficiencies,,
194,N/A,In my first time using matlab working with many polynomials many exponents are required. Using “^” is usually all that is required for this but matlab needs the syntax “.^”,I used my experience from previous coding languages and applied to matlab where the rule is different,Applying “strong-but-now-wrong” rule,,
195,N/A,Deadwood is board game that was being made into a videogame version for assignment. This error was the player icons were obscuring the information of the location they were,While not technically required for the game to function the clutter in the ui caused by this made the game less fun to play. Solved by shrinking the player icon when they are in a place with information that could be covered,Post-Completion Error,,
196,N/A,Related to 7 decimal places error. Data type for results was double when it matlab if you only need 7 decimal places the proper data type to use is single,This being my first project in matlab I was not familiar with the nuances of the variable types in language,Lack of knowledge,,
197,N/A,"In a program meant to perform bisection on a given function, the function I entered has a negative where there should have been a positive","I mistakenly turned a positive integer into a negative one, unsure if it was a typo or a lapse. I did not catch error because the bisection was performed and the results were correct, I did not think to make sure the input was correct too .",Perceptual confusions,,
198,N/A,for a newton's method program in matlab natural log is needed to calculate error. I had assumed ln would be syntax to use but matlab takes log as the natural log so there is no need for ln,Used the common syntax for math inputs not knowing that matlab has a different syntax.,Applying “strong-but-now-wrong” rule,,
199,N/A,"while loop in my newton's method program ran up to 1 times less than I had wanted. The goal is to produce an answer under a certain point such as  (10)^-8. The while loop was set to > meaning the loop would stop when the answer got close enough or was equal to point, when it must be less than",I was not considering the possibility of both sides being equal or close enough that the data type would see them as the same. (These are very small decimals with lots of zeros),Difficulties with exponential developments,,
200,N/A,"Bisection method in matlab should check the input to make sure that it is valid. If not it ends the program. I created this part first, made sure it worked then created the rest.",After making the rest of the program I only caught the error after putting the wrong input in. The program would give me the error message then attempt to perform the function anyway. I added a return statement to create the break ,Post-Completion Error,,
201,N/A,"I needed to make a graph for a specific function and mark the a specific point on the graphs. Matlab was showing a series of points instead, placing multiple points on the y-axis in a line on the x-point I selected ",I tried to input the points as part of the graph but because the graph is dependent on input values it would put the point on the graph for multiple variations of the line. I solved this be creating a separate individual point and placing it onto the graph.,Problems with complexity,,
202,3-Nov,Mean standard error value much larger than expected,Calculation for the variance portion of calculating MSE used the model predictions rather than dev set values. Their variables are similar and simply used the incorrect one for the formula.,Perceptual confusions,,
203,11/3/2025,The program was not correctly loading weights and bias variables from model file.,"The program used previously used code that correctly loaded weights and biases in a different program, however the weights and biases were saved in a different structure in this program.",Applying “strong-but-now-wrong” rule,,
204,11/3/2025,Program did not save weights and bias v alu e s in t o t h e m o d el file with expected format,"The program used previously used code  o s a v e w eig h t s a n d bia s e s t h a t w o r k e d in a previous program, however weights and biases are structured differently within the current program spec (required a dictionary to be created and saved to the file). This suggests a rule used that was successful in the past but was now not sufficient in a new scenario.",Applying “strong-but-now-wrong” rule,,
205,11/4/2025,"Calculated model training loss was much smaller than expected, including at the beginning of training which signifies a defect. ",Line that calculated the loss value used the wrong variable in the denominato r (N instead of N_batch). This suggests a Perceptual confusions in writing the line. ,Perceptual confusions,,
206,11/4/2025,Program threw an out o f b o u n d s e r r o r in t h e p r e dic tio n m o d e f u n c tio n a t t h e lin e c h e c kin g w h e t h e r t h e m o d el was evaluating the values on output layer,"A 1 was used in checking length instead of 2, signifying a mere misinput leading to the error",Perceptual confusions,,
207,11/4/2025,"The program output poor model accuracy, and the output values during backpropa gation were incorrect","Inreviewing the math o f t h e p r o c e s s o f t r ainin g t h e m o d el, it was revealed that during backpropa g a tio n t h e d e riv a tiv e o f t h e hid d e n a c tiv a tio n f u n c tio n s m u s t b e u s e d, requirin g a n e n tir ely diff e r e n t f u n c tio n f r o m t h e n o r m al activatio n f u n c tio n. This was not know n t o m e a t t h e tim e o f c o din g t h e o rigin al function and thus the defec t w a s d u e t o a la c k o f k n o wle d g e",Lack of knowledge,,
208,11/5/2025,P r o g r a m C a n n o t iterate through lis t o f n u m b e r s b e c a u s e o f incompatib le typing after layer sizes were loaded into the program,P r o g r a m e r r o r o u t p u t sig nifie d t h a t t h e lis t c o uld n o t b e it e r a t e d t h r o u g h a s it contained both int and float values. This python interaction was something I was unaware of and thus the defect was due to a lack of knowledge,Lack of knowledge,,
209,11/5/2025,R e g r e s sio n t r ainin g m o d e d o e s n o t p r o d u c e c o n tin u o u s v alu e s,"D e b u g gin g t r a c e d b a c k t o t h e lin e s loading the dataset values into the program which were casted into integers. These lines worked previously with a classificatio n program similar to this one but since regression needs the decimals to not be truncated, this was a defect caused by “strong-but- now-wrong”",Applying “strong-but-now-wrong” rule,,
210,11/5/2025,M o d el s a w increased loss and accuracy lowered as training continued (inverse relationshi p from expected),"C a u s e t o e r r o r w a s t r a c e d t o a mis t a k e in t h e p r o g r a m c allin g s c rip t u s e d fo r t e s tin g t h e p r o g r a m. Due to th e c o m ple xit y o f t h e p r o g r a m, the programm e r m ainly t e s t e d fo r issues within the training model logic and math implementa tion and did not consider the separate script file as a possible reason for the software defect, thus Biased review. ",Biased review,,
211,11/6/2025,P r o g r a m w a s mis sin g e r r o r h a n dlin g fo r inc o r r e c t c o m m a n d line arguments,R e q u e s t fo r e r r o r h a n dlin g incorrect argumen t s w a s s t a t e d a t t h e b o t t o m o f t h e p r o g r a m s p e cific a tio n s a n d did n o t dir e c tly impact the expected output of the program given intended inputs and thus was missed in ensuring program completion. This suggests a post-compl etion error,Post-Completion Error,,
212,11/4/2025,Matrix multiplication error: a linear layer in a neural network meant to generate a mask was of the wrong dimensions,"IF Task A = {translate theoretical input/output mappings, implement tensor shapes in code}; WHEN The programmer relies on an internalized rule for shape relations, AND that rule is incomplete or misremembered, AND the encoded dimensions must strictly match theoretical ones; THEN Humans tend to encode incorrect matrix shapes, resulting in dimension mismatch errors",Rule encoding deficiencies,,
213,11/5/2025,Didn’t add adequate CPU usage to Condor job submission.,"IF Task A = {configure resource parameters, submit distributed job}; WHEN The programmer copies an existing job template, AND does not fully understand which fields must be modified, AND resource declarations are easy to overlook; THEN Humans tend to omit required parameters such as CPU count.",Lack of knowledge,,
214,11/6/2025,"Incremented counter after a possible continue, resulting in an infinite loop.","IF Task A = {adapt loop pattern, manage control flow with continue}; WHEN A familiar iteration rule is reused without modification, AND the continue branch disrupts the usual update sequence, AND the increment step must occur before the continue executes; THEN Humans tend to misplace the increment, resulting in infinite loops.",Rule encoding deficiencies,,
215,11/7/2025,"In a neural network training loop, I intended to save the weights of the model that attained the lowest loss, but I forgot to save the model.","IF Task A = {complete training step, save model}; WHEN The primary subtask is completing the training iteration, AND saving the model is not required to complete training, AND saving occurs at the end of the task sequence; THEN Humans tend to omit the saving step, resulting in lost model state.",Post-Completion Error,,
216,11/9/2025,"Built an error-prone, highly specific implementation of a functionality that already existed in the library.","IF Task A = {implement model persistence, evaluate available library utilities}; 2 WHEN The programmer is unaware of built-in mechanisms, AND constructs a solution from scratch based on incomplete reasoning, AND complexity grows beyond what the task requires; THEN Humans tend to produce over-specific, error-prone implementations.",Lack of knowledge,,
217,11/11/2025,"Left a breakpoint in code when running from W&B, causing runs to crash.","IF Task A = {debug program, restore clean execution state}; WHEN Debugging introduces a temporary breakpoint, AND switching to production execution interrupts the cleanup sequence, AND removing the breakpoint is the final step in the transition; THEN Humans tend to omit the cleanup, leaving the breakpoint active.",Omissions following interruptions,,
218,11/12/2025,Forgot to add a modulo on index when iterating over a circular array.,"IF Task A = {iterate over collection, apply circular wrap-around rule}; WHEN The programmer relies on the familiar linear indexing rule, AND neglects to revise it for cyclic structure, AND the modulo is a small but crucial final adjustment; THEN Humans tend to omit the modulo, resulting in out-of-range access",Applying “strong-but-now-wrong” rule,,
219,11/13/2025,"Changing code from an assignment statement followed by an if block to a single if block, forgot to add colon.","IF Task A = {restructure code block, add syntactic terminator}; WHEN The primary focus is on the conceptual restructuring, AND the colon is not required to complete that conceptual transformation, AND adding the colon is the final minor step; THEN Humans tend to omit the colon, generating a syntax error.",Post-Completion Error,,
220,11/14/2025,"Copied and pasted pattern from the ”Forgot colon” error above without proofreading, causing the same error to appear in multiple places.","IF Task A = {reuse existing code, verify correctness in new context}; WHEN The programmer assumes the copied code is already correct, AND skips independent re-evaluation of the pattern, AND the original code contains a defect; THEN Humans tend to duplicate the defect across multiple locations.",Biased review,,
221,10/29/2025,Program was not having expected results from calling a separate file. The other file was the wrong version.,"The current task in file A required file B to be correct in order to properly test file A's functionality, and I did not review file B, instead assuming that it worked as desired",Biased review,,
222,10/29/2025,Called index 0 as the starting index of an array in R ,"I was indexing into an array, which in most programming languages I’ve used starts at index 0, but in R indexing starts at 1 so that rule, while strong in general, didn’t apply to the current context. ",Applying “strong-but-now-wrong” rule,,
223,11/2/2025,Moved an import to a different file but didn’t update the import file path ,"I only paid attention to the function I needed to import, not realizing the new file had a different relative path to the imported file ",Selectivity,,
224,3-Nov,Typed “it” as “if” at the start of a statement with a similar structure to if statements ,"I meant to type “it” at the start of a statement where “if” is common, so muscle memory had me type “if” instead, which I didn’t catch immediately because the two look very similar ",Perceptual confusions,,
225,11/3/2025,Missing ; at the end of a statement,"I forgot a ; at the end of a statement and overlooked its absence, leading to an error when attempting to run the code segment. ",Perceptual confusions,,
226,11/4/2025,Copied code for a different context but only changed part of the context,I copied code written for testing functions to test a different function but forgot to change the function call while I did ensure other features that needed to be changed were.,Selectivity,,
227,11/4/2025,Attempt at executing a for loop in parallel resulted in slower processing time ,"I attempted to execute a for loop in parallel across CPU cores in R, and the method I attempted resulted in slower performance from an entirely sequential for loop ",Lack of knowledge,,
